timestamp_utc,user,src_ip,country,device,auth_type,success,is_injected_anomaly,anomaly_type,hour,dayofweek,is_internal_ip,home_country,is_home_country,ts_unix,recent_events_30m,recent_failures_30m,device_bucket,auth_bucket,country_bucket,anomaly_score,risk_score,is_flagged_anomaly,is_impossible_travel,reasons
2026-02-24 03:14:13.525618+00:00,user33,101.169.41.57,JP,Linux,Password,0,1,offhours_burst_member,3,1,0,AU,0,1771902853,24.0,24.0,1,5,15,-0.22601712806060203,0.22601712806060203,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; Country mismatch vs home; High event volume (30m)
2026-02-24 03:14:12.525618+00:00,user33,101.169.41.57,JP,Linux,Password,0,1,offhours_burst_member,3,1,0,AU,0,1771902852,23.0,23.0,1,5,15,-0.2248391728973963,0.2248391728973963,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; Country mismatch vs home; High event volume (30m)
2026-02-24 03:12:42.525618+00:00,user33,101.169.41.57,JP,Linux,Password,0,1,offhours_burst_member,3,1,0,AU,0,1771902762,22.0,22.0,1,5,15,-0.22190263979442826,0.22190263979442826,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; Country mismatch vs home; High event volume (30m)
2026-02-24 03:11:02.525618+00:00,user33,101.169.41.57,JP,Linux,Password,0,1,offhours_burst_member,3,1,0,AU,0,1771902662,21.0,21.0,1,5,15,-0.21878344949277517,0.21878344949277517,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; Country mismatch vs home; High event volume (30m)
2026-02-24 03:10:48.525618+00:00,user33,101.169.41.57,JP,Linux,Password,0,1,offhours_burst_member,3,1,0,AU,0,1771902648,20.0,20.0,1,5,15,-0.21509691106394047,0.21509691106394047,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; Country mismatch vs home; High event volume (30m)
2026-02-24 03:10:24.525618+00:00,user33,101.169.41.57,JP,Linux,Password,0,1,offhours_burst_member,3,1,0,AU,0,1771902624,19.0,19.0,1,5,15,-0.20936938244419834,0.20936938244419834,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; Country mismatch vs home; High event volume (30m)
2026-02-24 03:10:18.525618+00:00,user33,101.169.41.57,JP,Linux,Password,0,1,offhours_burst_member,3,1,0,AU,0,1771902618,18.0,18.0,1,5,15,-0.2070693610976816,0.2070693610976816,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; Country mismatch vs home; High event volume (30m)
2026-02-22 03:35:00.466558+00:00,user02,91.161.178.111,IN,Mac,Password,0,1,offhours_burst_member,3,6,0,IN,1,1771731300,46.0,46.0,13,5,3,-0.20364427141874775,0.20364427141874775,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; High event volume (30m)
2026-02-22 03:33:17.466558+00:00,user02,91.161.178.111,IN,Mac,Password,0,1,offhours_burst_member,3,6,0,IN,1,1771731197,45.0,45.0,13,5,3,-0.20364427141874775,0.20364427141874775,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; High event volume (30m)
2026-02-24 03:10:07.525618+00:00,user33,101.169.41.57,JP,Linux,Password,0,1,offhours_burst_member,3,1,0,AU,0,1771902607,17.0,17.0,1,5,15,-0.20338064857401805,0.20338064857401805,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; Country mismatch vs home; High event volume (30m)
2026-02-22 03:33:06.466558+00:00,user02,91.161.178.111,IN,Mac,Password,0,1,offhours_burst_member,3,6,0,IN,1,1771731186,44.0,44.0,13,5,3,-0.2032635136064772,0.2032635136064772,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; High event volume (30m)
2026-02-22 03:33:02.466558+00:00,user02,91.161.178.111,IN,Mac,Password,0,1,offhours_burst_member,3,6,0,IN,1,1771731182,43.0,43.0,13,5,3,-0.20212247594368837,0.20212247594368837,1,0,Multiple recent failures (30m); off-hours login time; Public IP source; High event volume (30m)
