user,row_index_1,time_1,country_1,src_ip_1,row_index_2,time_2,country_2,src_ip_2,delta_seconds,rule_reason
user01,22,2026-02-19 14:46:39.470106,AU,10.169.188.62,23,2026-02-19 14:47:34.906032,JP,10.62.254.13,55.435926,country changed within 10m
user01,33,2026-02-19 17:19:40.181611,AU,10.53.219.95,34,2026-02-19 17:21:15.573278,NZ,10.103.80.24,95.391667,country changed within 10m
user01,34,2026-02-19 17:21:15.573278,NZ,10.103.80.24,35,2026-02-19 17:29:59.591965,AU,10.26.21.192,524.018687,country changed within 10m
user01,62,2026-02-21 11:52:25.926317,AU,10.62.151.116,63,2026-02-21 11:54:18.159674,US,10.44.168.23,112.233357,country changed within 10m
user01,67,2026-02-21 13:39:32.783258,US,10.189.135.96,68,2026-02-21 13:49:14.741927,AU,10.61.6.51,581.958669,country changed within 10m
user02,186,2026-02-20 02:15:56.227758,SG,173.171.193.9,187,2026-02-20 02:23:56.227758,IN,10.112.48.218,480.0,country changed within 10m
user02,189,2026-02-20 08:35:03.861610,NZ,52.183.241.93,190,2026-02-20 08:43:03.861610,IN,10.189.144.24,480.0,country changed within 10m
user02,196,2026-02-20 13:12:10.845916,DE,143.0.102.195,197,2026-02-20 13:14:28.311966,IN,10.29.127.34,137.46605,country changed within 10m
user02,219,2026-02-21 14:46:38.356294,JP,10.120.118.231,220,2026-02-21 14:56:30.160076,IN,10.27.10.115,591.803782,country changed within 10m
user02,280,2026-02-22 08:58:53.930425,IN,101.165.118.174,281,2026-02-22 09:04:51.542618,SG,159.103.91.197,357.612193,country changed within 10m
user02,281,2026-02-22 09:04:51.542618,SG,159.103.91.197,282,2026-02-22 09:11:51.542618,IN,10.246.41.191,420.0,country changed within 10m
user03,375,2026-02-19 09:29:33.889316,JP,10.248.122.174,376,2026-02-19 09:35:42.948178,US,10.171.111.190,369.058862,country changed within 10m
user03,389,2026-02-19 18:24:47.071388,JP,173.117.55.150,390,2026-02-19 18:29:47.071388,US,10.131.186.93,300.0,country changed within 10m
user03,409,2026-02-20 12:55:14.273863,US,10.216.254.130,410,2026-02-20 13:03:58.783559,DE,10.192.1.86,524.509696,country changed within 10m
user03,410,2026-02-20 13:03:58.783559,DE,10.192.1.86,411,2026-02-20 13:06:31.067210,US,10.150.226.124,152.283651,country changed within 10m
